year,month,day,bids,wins,bidprice,winprice,pixels,clicks
2016,10,1,0,0,0,0,0,0
2016,10,2,0,0,0,0,0,0
2016,10,3,0,0,0,0,0,0
2016,10,24,309021,16844,15.4511,0.808395,0,0
2016,10,25,1620014,147692,81.0007,7.086921,0,0
2016,10,26,2356894,217751,117.8447,10.449517,0,0
2016,10,27,3168700,282428,158.4350,13.553111,0,0
2016,10,28,3214705,259392,160.7353,12.446624,0,0
2016,10,29,3226852,230808,161.3426,11.075934,0,0
2016,10,30,3221884,242584,161.0942,11.640370,0,0
2016,10,31,3438458,148152,171.9229,7.109142,0,0
2016,11,1,3723034,20284,186.1517,0.973410,0,0
2016,11,2,3720990,19307,186.0495,0.926495,0,0
2016,11,3,3703908,19258,185.1954,0.924018,0,0
2016,11,24,0,0,0,0,0,0
2016,11,25,0,0,0,0,0,0
2016,11,26,0,0,0,0,0,0
2016,11,27,0,0,0,0,0,0
2016,11,28,0,0,0,0,0,0
2016,11,29,0,0,0,0,0,0
2016,11,30,0,0,0,0,0,0
